vdd,V(vout),Id(M1)
0.000000000000000e+000,-1.995781e-018,-9.842387e-026
1.000000000000000e-002,1.145151e-003,8.845645e-007
2.000000000000000e-002,2.294536e-003,1.770547e-006
3.000000000000000e-002,3.444996e-003,2.655501e-006
4.000000000000000e-002,4.597601e-003,3.540240e-006
5.000000000000000e-002,5.752362e-003,4.424764e-006
6.000000000000001e-002,6.909291e-003,5.309071e-006
7.000000000000001e-002,8.068400e-003,6.193161e-006
8.000000000000000e-002,9.229703e-003,7.077030e-006
9.000000000000000e-002,1.039321e-002,7.960680e-006
9.999999999999999e-002,1.155894e-002,8.844107e-006
1.100000000000000e-001,1.272689e-002,9.727311e-006
1.200000000000000e-001,1.389709e-002,1.061029e-005
1.300000000000000e-001,1.506955e-002,1.149305e-005
1.400000000000000e-001,1.624427e-002,1.237557e-005
1.500000000000000e-001,1.742127e-002,1.325787e-005
1.600000000000000e-001,1.860057e-002,1.413994e-005
1.700000000000000e-001,1.978218e-002,1.502178e-005
1.800000000000000e-001,2.096611e-002,1.590339e-005
1.900000000000000e-001,2.215238e-002,1.678476e-005
2.000000000000000e-001,2.334099e-002,1.766590e-005
2.100000000000001e-001,2.453196e-002,1.854681e-005
2.200000000000001e-001,2.572531e-002,1.942747e-005
2.300000000000001e-001,2.692105e-002,2.030790e-005
2.400000000000001e-001,2.811919e-002,2.118808e-005
2.500000000000001e-001,2.931975e-002,2.206803e-005
2.600000000000001e-001,3.052274e-002,2.294773e-005
2.700000000000001e-001,3.172817e-002,2.382718e-005
2.800000000000001e-001,3.293607e-002,2.470639e-005
2.900000000000001e-001,3.414644e-002,2.558536e-005
3.000000000000001e-001,3.535930e-002,2.646407e-005
3.100000000000001e-001,3.657466e-002,2.734254e-005
3.200000000000001e-001,3.779254e-002,2.822075e-005
3.300000000000001e-001,3.901295e-002,2.909871e-005
3.400000000000001e-001,4.023591e-002,2.997641e-005
3.500000000000001e-001,4.146143e-002,3.085386e-005
3.600000000000002e-001,4.268953e-002,3.173105e-005
3.700000000000002e-001,4.392023e-002,3.260798e-005
3.800000000000002e-001,4.515353e-002,3.348465e-005
3.900000000000002e-001,4.638946e-002,3.436106e-005
4.000000000000002e-001,4.762802e-002,3.523720e-005
4.100000000000002e-001,4.886924e-002,3.611308e-005
4.200000000000002e-001,5.011314e-002,3.698869e-005
4.300000000000002e-001,5.135972e-002,3.786403e-005
4.400000000000002e-001,5.260900e-002,3.873910e-005
4.500000000000002e-001,5.386100e-002,3.961390e-005
4.600000000000002e-001,5.511574e-002,4.048843e-005
4.700000000000003e-001,5.637323e-002,4.136268e-005
4.800000000000003e-001,5.763349e-002,4.223665e-005
4.900000000000003e-001,5.889653e-002,4.311035e-005
5.000000000000002e-001,6.016238e-002,4.398376e-005
5.100000000000002e-001,6.143104e-002,4.485690e-005
5.200000000000002e-001,6.270254e-002,4.572975e-005
5.300000000000003e-001,6.397690e-002,4.660231e-005
5.400000000000003e-001,6.525412e-002,4.747459e-005
5.500000000000003e-001,6.653424e-002,4.834658e-005
5.600000000000003e-001,6.781726e-002,4.921828e-005
5.700000000000003e-001,6.910320e-002,5.008968e-005
5.800000000000003e-001,7.039208e-002,5.096080e-005
5.900000000000003e-001,7.168392e-002,5.183161e-005
6.000000000000003e-001,7.297873e-002,5.270213e-005
6.100000000000003e-001,7.427655e-002,5.357235e-005
6.200000000000003e-001,7.557738e-002,5.444227e-005
6.300000000000003e-001,7.688124e-002,5.531188e-005
6.400000000000004e-001,7.818814e-002,5.618119e-005
6.500000000000004e-001,7.949813e-002,5.705019e-005
6.600000000000004e-001,8.081120e-002,5.791888e-005
6.700000000000004e-001,8.212738e-002,5.878727e-005
6.800000000000004e-001,8.344668e-002,5.965534e-005
6.900000000000004e-001,8.476914e-002,6.052309e-005
7.000000000000004e-001,8.609475e-002,6.139053e-005
7.100000000000004e-001,8.742356e-002,6.225765e-005
7.200000000000004e-001,8.875557e-002,6.312445e-005
7.300000000000004e-001,9.009081e-002,6.399092e-005
7.400000000000004e-001,9.142929e-002,6.485707e-005
7.500000000000004e-001,9.277105e-002,6.572290e-005
7.600000000000005e-001,9.411609e-002,6.658839e-005
7.700000000000005e-001,9.546445e-002,6.745356e-005
7.800000000000005e-001,9.681612e-002,6.831839e-005
7.900000000000005e-001,9.817116e-002,6.918289e-005
8.000000000000005e-001,9.952956e-002,7.004705e-005
8.100000000000005e-001,1.008914e-001,7.091086e-005
8.200000000000005e-001,1.022566e-001,7.177435e-005
8.300000000000005e-001,1.036252e-001,7.263748e-005
8.400000000000005e-001,1.049974e-001,7.350027e-005
8.500000000000005e-001,1.063730e-001,7.436271e-005
8.600000000000005e-001,1.077521e-001,7.522480e-005
8.700000000000006e-001,1.091347e-001,7.608654e-005
8.800000000000006e-001,1.105209e-001,7.694792e-005
8.900000000000006e-001,1.119106e-001,7.780894e-005
9.000000000000006e-001,1.133040e-001,7.866960e-005
9.100000000000006e-001,1.147010e-001,7.952991e-005
9.200000000000006e-001,1.161016e-001,8.038984e-005
9.300000000000006e-001,1.175059e-001,8.124941e-005
9.400000000000006e-001,1.189139e-001,8.210861e-005
9.500000000000006e-001,1.203256e-001,8.296744e-005
9.600000000000006e-001,1.217411e-001,8.382590e-005
9.700000000000006e-001,1.231603e-001,8.468398e-005
9.800000000000007e-001,1.245833e-001,8.554167e-005
9.900000000000007e-001,1.260102e-001,8.639898e-005
1.000000000000001e+000,1.274409e-001,8.725592e-005
1.010000000000001e+000,1.288754e-001,8.811247e-005
1.020000000000001e+000,1.303139e-001,8.896861e-005
1.030000000000001e+000,1.317563e-001,8.982437e-005
1.040000000000001e+000,1.332026e-001,9.067974e-005
1.050000000000001e+000,1.346529e-001,9.153471e-005
1.060000000000001e+000,1.361073e-001,9.238928e-005
1.070000000000001e+000,1.375656e-001,9.324344e-005
1.080000000000001e+000,1.390281e-001,9.409719e-005
1.090000000000001e+000,1.404946e-001,9.495054e-005
1.100000000000001e+000,1.419652e-001,9.580348e-005
1.110000000000001e+000,1.434400e-001,9.665600e-005
1.120000000000001e+000,1.449190e-001,9.750811e-005
1.130000000000001e+000,1.464022e-001,9.835979e-005
1.140000000000001e+000,1.478896e-001,9.921104e-005
1.150000000000001e+000,1.493813e-001,1.000619e-004
1.160000000000001e+000,1.508773e-001,1.009123e-004
1.170000000000001e+000,1.523777e-001,1.017622e-004
1.180000000000001e+000,1.538823e-001,1.026118e-004
1.190000000000001e+000,1.553914e-001,1.034609e-004
1.200000000000001e+000,1.569049e-001,1.043095e-004
1.210000000000001e+000,1.584229e-001,1.051577e-004
1.220000000000001e+000,1.599454e-001,1.060055e-004
1.230000000000001e+000,1.614724e-001,1.068528e-004
1.240000000000001e+000,1.630039e-001,1.076996e-004
1.250000000000001e+000,1.645401e-001,1.085460e-004
1.260000000000001e+000,1.660808e-001,1.093919e-004
1.270000000000001e+000,1.676262e-001,1.102374e-004
1.280000000000001e+000,1.691764e-001,1.110824e-004
1.290000000000001e+000,1.707312e-001,1.119269e-004
1.300000000000001e+000,1.722909e-001,1.127709e-004
1.310000000000001e+000,1.738553e-001,1.136145e-004
1.320000000000001e+000,1.754246e-001,1.144575e-004
1.330000000000001e+000,1.769987e-001,1.153001e-004
1.340000000000001e+000,1.785778e-001,1.161422e-004
1.350000000000001e+000,1.801618e-001,1.169838e-004
1.360000000000001e+000,1.817508e-001,1.178249e-004
1.370000000000001e+000,1.833449e-001,1.186655e-004
1.380000000000001e+000,1.849440e-001,1.195056e-004
1.390000000000001e+000,1.865482e-001,1.203452e-004
1.400000000000001e+000,1.881576e-001,1.211842e-004
1.410000000000001e+000,1.897722e-001,1.220228e-004
1.420000000000001e+000,1.913920e-001,1.228608e-004
1.430000000000001e+000,1.930171e-001,1.236983e-004
1.440000000000001e+000,1.946476e-001,1.245352e-004
1.450000000000001e+000,1.962833e-001,1.253717e-004
1.460000000000001e+000,1.979245e-001,1.262076e-004
1.470000000000001e+000,1.995712e-001,1.270429e-004
1.480000000000001e+000,2.012233e-001,1.278777e-004
1.490000000000001e+000,2.028810e-001,1.287119e-004
1.500000000000001e+000,2.045443e-001,1.295456e-004
1.510000000000001e+000,2.062132e-001,1.303787e-004
1.520000000000001e+000,2.078878e-001,1.312112e-004
1.530000000000001e+000,2.095681e-001,1.320432e-004
1.540000000000001e+000,2.112542e-001,1.328746e-004
1.550000000000001e+000,2.129461e-001,1.337054e-004
1.560000000000001e+000,2.146439e-001,1.345356e-004
1.570000000000001e+000,2.163477e-001,1.353652e-004
1.580000000000001e+000,2.180574e-001,1.361943e-004
1.590000000000001e+000,2.197732e-001,1.370227e-004
1.600000000000001e+000,2.214950e-001,1.378505e-004
1.610000000000001e+000,2.232230e-001,1.386777e-004
1.620000000000001e+000,2.249572e-001,1.395043e-004
1.630000000000001e+000,2.266976e-001,1.403302e-004
1.640000000000001e+000,2.284444e-001,1.411556e-004
1.650000000000001e+000,2.301975e-001,1.419803e-004
1.660000000000001e+000,2.319570e-001,1.428043e-004
1.670000000000001e+000,2.337230e-001,1.436277e-004
1.680000000000001e+000,2.354955e-001,1.444504e-004
1.690000000000001e+000,2.372746e-001,1.452725e-004
1.700000000000001e+000,2.390604e-001,1.460940e-004
1.710000000000001e+000,2.408530e-001,1.469147e-004
1.720000000000001e+000,2.426523e-001,1.477348e-004
1.730000000000001e+000,2.444584e-001,1.485542e-004
1.740000000000001e+000,2.462715e-001,1.493728e-004
1.750000000000001e+000,2.480915e-001,1.501909e-004
1.760000000000001e+000,2.499186e-001,1.510081e-004
1.770000000000001e+000,2.517528e-001,1.518247e-004
1.780000000000001e+000,2.535942e-001,1.526406e-004
1.790000000000001e+000,2.554429e-001,1.534557e-004
1.800000000000001e+000,2.572988e-001,1.542701e-004
1.810000000000001e+000,2.591622e-001,1.550838e-004
1.820000000000001e+000,2.610330e-001,1.558967e-004
1.830000000000001e+000,2.629114e-001,1.567089e-004
1.840000000000001e+000,2.647974e-001,1.575203e-004
1.850000000000001e+000,2.666911e-001,1.583309e-004
1.860000000000001e+000,2.685926e-001,1.591407e-004
1.870000000000001e+000,2.705019e-001,1.599498e-004
1.880000000000001e+000,2.724192e-001,1.607581e-004
1.890000000000002e+000,2.743445e-001,1.615655e-004
1.900000000000002e+000,2.762779e-001,1.623722e-004
1.910000000000002e+000,2.782195e-001,1.631780e-004
1.920000000000002e+000,2.801694e-001,1.639831e-004
1.930000000000002e+000,2.821276e-001,1.647872e-004
